qHawaxID,timestamp,idPollutant,Value
42,"2021-04-19 15:00:00",1,5836.041
42,"2021-04-19 15:00:00",2,14.76
42,"2021-04-19 15:00:00",3,44.353
42,"2021-04-19 15:00:00",4,46.329
42,"2021-04-19 15:00:00",5,97.578
42,"2021-04-19 15:00:00",6,39.048
42,"2021-04-19 15:00:00",7,4.488
42,"2021-04-19 17:00:00",1,3276.01
42,"2021-04-19 17:00:00",2,7.3
42,"2021-04-19 17:00:00",3,38.805
42,"2021-04-19 17:00:00",4,57.683
42,"2021-04-19 17:00:00",5,79.519
42,"2021-04-19 17:00:00",6,32.357
42,"2021-04-19 17:00:00",7,7.197
42,"2021-04-19 23:00:00",1,3633.191
42,"2021-04-19 23:00:00",2,20.015
42,"2021-04-19 23:00:00",3,67.855
42,"2021-04-19 23:00:00",4,37.124
42,"2021-04-19 23:00:00",5,80.863
42,"2021-04-19 23:00:00",6,27.986
42,"2021-04-19 23:00:00",7,6.376
42,"2021-04-20 00:00:00",1,6073.105
42,"2021-04-20 00:00:00",2,23.28
42,"2021-04-20 00:00:00",3,77.488
42,"2021-04-20 00:00:00",4,35.292
42,"2021-04-20 00:00:00",5,84.119
42,"2021-04-20 00:00:00",6,22.673
42,"2021-04-20 00:00:00",7,6.35
42,"2021-04-20 03:00:00",1,1901.857
42,"2021-04-20 03:00:00",2,18.487
42,"2021-04-20 03:00:00",3,78.879
42,"2021-04-20 03:00:00",4,14.891
42,"2021-04-20 03:00:00",5,73.105
42,"2021-04-20 03:00:00",6,22.182
42,"2021-04-20 03:00:00",7,7.439
42,"2021-04-20 19:00:00",1,1017.843
42,"2021-04-20 19:00:00",2,6.091
42,"2021-04-20 19:00:00",3,26.448
42,"2021-04-20 19:00:00",4,41.582
42,"2021-04-20 19:00:00",5,58.762
42,"2021-04-20 19:00:00",6,17.571
42,"2021-04-20 19:00:00",7,6.445
42,"2021-04-25 22:00:00",1,523.802
42,"2021-04-25 22:00:00",2,7.493
42,"2021-04-25 22:00:00",3,59.642
42,"2021-04-25 22:00:00",4,24.796
42,"2021-04-25 22:00:00",5,20.274
42,"2021-04-25 22:00:00",6,6.179
42,"2021-04-25 22:00:00",7,10.092
43,"2021-04-19 23:00:00",1,2895.581
43,"2021-04-19 23:00:00",2,10.016
43,"2021-04-19 23:00:00",3,80.058
43,"2021-04-19 23:00:00",4,12.669
43,"2021-04-19 23:00:00",5,55.027
43,"2021-04-19 23:00:00",6,18.255
43,"2021-04-19 23:00:00",7,8.328
43,"2021-04-20 00:00:00",1,3340.163
43,"2021-04-20 00:00:00",2,12.226
43,"2021-04-20 00:00:00",3,81.955
43,"2021-04-20 00:00:00",4,1.148
43,"2021-04-20 00:00:00",5,63.782
43,"2021-04-20 00:00:00",6,14.115
43,"2021-04-20 00:00:00",7,9.284
43,"2021-04-25 22:00:00",1,1447.584
43,"2021-04-25 22:00:00",2,12.678
43,"2021-04-25 22:00:00",3,75.876
43,"2021-04-25 22:00:00",4,36.384
43,"2021-04-25 22:00:00",5,15.155
43,"2021-04-25 22:00:00",6,3.51
43,"2021-04-25 22:00:00",7,3.571
45,"2021-04-19 14:00:00",1,3479.698
45,"2021-04-19 14:00:00",2,16.226
45,"2021-04-19 14:00:00",3,63.375
45,"2021-04-19 14:00:00",4,44.231
45,"2021-04-19 14:00:00",5,79.872
45,"2021-04-19 14:00:00",6,25.71
45,"2021-04-19 14:00:00",7,6.398
45,"2021-04-19 15:00:00",1,2743.017
45,"2021-04-19 15:00:00",2,12.737
45,"2021-04-19 15:00:00",3,31.366
45,"2021-04-19 15:00:00",4,39.967
45,"2021-04-19 15:00:00",5,60.592
